dhb,age,sex,Maori,Pacific,Asian,MELAA,Other,European,Total Stated,Not Elsewhere Included,Total
Northland,90,Total,9,3,3,3,3,192,204,15,219
Northland,91,M,3,3,3,3,3,72,75,3,78
Northland,91,F,3,3,3,3,3,117,120,6,129
Northland,91,Total,6,3,3,3,3,186,198,9,207
Northland,92,M,3,3,3,3,3,45,45,3,48
Northland,92,F,6,3,3,3,3,84,96,3,99
Northland,92,Total,9,3,3,3,3,132,141,6,147
Northland,93,M,3,3,3,3,3,24,27,3,30
Northland,93,F,3,3,3,3,3,69,72,3,78
Northland,93,Total,3,3,3,3,3,96,102,3,108
Northland,94,M,3,3,3,3,3,9,9,3,12
Northland,94,F,3,3,3,3,3,51,57,3,60
Northland,94,Total,3,3,3,3,3,60,66,6,72
Northland,95,M,3,3,3,3,3,9,12,3,15
Northland,95,F,3,3,3,3,3,33,36,3,36
Northland,95,Total,3,3,3,3,3,45,48,3,51
Northland,96,M,3,3,3,3,3,9,9,3,12
Northland,96,F,3,3,3,3,3,27,27,3,30
Northland,96,Total,3,3,3,3,3,36,36,3,39
Northland,97,M,3,3,3,3,3,3,6,3,9
Northland,97,F,3,3,3,3,3,12,15,3,18
Northland,97,Total,3,3,3,3,3,18,21,3,24
Northland,98,M,3,3,3,3,3,3,3,3,3
Northland,98,F,3,3,3,3,3,15,15,3,15
Northland,98,Total,3,3,3,3,3,18,21,3,21
Northland,99,M,3,3,3,3,3,3,3,3,3
Northland,99,F,3,3,3,3,3,6,6,3,6
Northland,99,Total,3,3,3,3,3,9,6,3,9
Northland,100,M,3,3,3,3,3,3,3,3,3
Northland,100,F,3,3,3,3,3,18,18,3,18
Northland,100,Total,3,3,3,3,3,21,21,3,21
Northland,Total,M,"21,336","1,095","1,590",216,"1,365","41,550","67,155","6,447","73,599"
Northland,Total,F,"23,595","1,125","1,842",237,"1,041","43,845","71,682","6,408","78,093"
Northland,Total,Total,"44,931","2,220","3,429",450,"2,409","85,398","138,837","12,852","151,692"
Waitemata,0,M,597,354,840,66,39,"1,758","3,660",201,"3,861"
Waitemata,0,F,585,297,798,87,39,"1,626","3,429",207,"3,636"
Waitemata,0,Total,"1,182",654,"1,638",153,81,"3,381","7,089",411,"7,497"
Waitemata,1,M,621,363,681,72,45,"1,797","3,579",177,"3,756"
Waitemata,1,F,525,336,630,57,36,"1,755","3,339",210,"3,549"
Waitemata,1,Total,"1,146",699,"1,311",129,78,"3,555","6,918",384,"7,302"
Waitemata,2,M,609,375,660,66,54,"1,884","3,645",165,"3,810"
Waitemata,2,F,585,315,672,69,39,"1,782","3,459",201,"3,660"
Waitemata,2,Total,"1,197",687,"1,332",135,90,"3,663","7,104",369,"7,470"
Waitemata,3,M,627,390,624,75,54,"1,869","3,639",195,"3,834"
Waitemata,3,F,609,354,621,54,36,"1,773","3,444",186,"3,633"
Waitemata,3,Total,"1,236",741,"1,242",129,90,"3,645","7,086",381,"7,467"
Waitemata,4,M,636,423,603,78,51,"1,887","3,675",162,"3,837"
Waitemata,4,F,540,372,591,54,48,"1,806","3,411",186,"3,597"
Waitemata,4,Total,"1,176",795,"1,194",132,99,"3,690","7,089",348,"7,434"
Waitemata,5,M,603,378,651,63,48,"1,923","3,666",174,"3,837"
Waitemata,5,F,558,363,564,57,48,"1,944","3,537",207,"3,747"
Waitemata,5,Total,"1,161",741,"1,215",120,93,"3,870","7,203",381,"7,584"
Waitemata,6,M,504,396,579,63,60,"1,896","3,495",144,"3,639"
Waitemata,6,F,564,339,519,72,42,"1,824","3,354",186,"3,537"
Waitemata,6,Total,"1,068",732,"1,098",135,99,"3,717","6,849",327,"7,176"
Waitemata,7,M,504,360,588,60,48,"1,857","3,417",171,"3,591"
Waitemata,7,F,525,312,555,78,42,"1,677","3,183",153,"3,339"
Waitemata,7,Total,"1,026",672,"1,140",138,93,"3,534","6,600",327,"6,927"
Waitemata,8,M,492,384,534,66,48,"1,788","3,312",153,"3,462"
Waitemata,8,F,489,324,579,51,66,"1,794","3,297",174,"3,471"
Waitemata,8,Total,981,708,"1,113",114,111,"3,579","6,609",327,"6,936"
Waitemata,9,M,507,351,558,63,36,"1,881","3,390",165,"3,555"
Waitemata,9,F,450,327,540,66,36,"1,713","3,132",144,"3,273"
Waitemata,9,Total,954,675,"1,098",126,72,"3,594","6,522",306,"6,828"
Waitemata,10,M,483,351,567,60,42,"1,887","3,390",141,"3,531"
Waitemata,10,F,429,315,498,54,54,"1,740","3,090",165,"3,255"
Waitemata,10,Total,912,663,"1,065",114,96,"3,627","6,480",303,"6,786"
Waitemata,11,M,513,363,519,51,39,"1,869","3,351",156,"3,507"
Waitemata,11,F,477,342,483,72,45,"1,782","3,201",147,"3,348"
Waitemata,11,Total,987,702,"1,002",123,81,"3,651","6,552",300,"6,852"
Waitemata,12,M,525,363,603,63,33,"1,959","3,543",183,"3,729"
Waitemata,12,F,450,318,594,66,45,"1,911","3,384",195,"3,579"
